iter	Passed	Remaining
0	133	133550
1	141	70422
2	149	49595
3	156	38996
4	165	32924
5	172	28651
6	181	25757
7	188	23391
8	198	21845
9	206	20453
10	216	19476
11	225	18540
12	234	17804
13	243	17165
14	250	16442
15	259	15976
16	269	15576
17	277	15137
18	286	14774
19	293	14379
20	303	14140
21	310	13787
22	320	13635
23	332	13502
24	342	13343
25	349	13079
26	357	12865
27	363	12635
28	374	12529
29	381	12335
30	390	12214
31	397	12034
32	405	11890
33	412	11731
34	422	11661
35	429	11491
36	442	11514
37	451	11428
38	458	11287
39	466	11205
40	474	11095
41	483	11035
42	490	10914
43	499	10847
44	506	10750
45	515	10682
46	523	10609
47	531	10540
48	540	10489
49	547	10397
50	557	10370
51	564	10283
52	573	10248
53	581	10179
54	588	10114
55	596	10059
56	605	10017
57	614	9972
58	621	9907
59	628	9853
60	635	9787
61	643	9733
62	650	9674
63	657	9621
64	665	9574
65	673	9524
66	679	9464
67	687	9419
68	694	9376
69	703	9351
70	711	9305
71	721	9298
72	729	9259
73	739	9257
74	750	9260
75	759	9232
76	766	9192
77	773	9144
78	783	9132
79	789	9084
80	796	9037
81	803	8990
82	808	8927
83	816	8898
84	823	8867
85	831	8836
86	841	8830
87	849	8799
88	858	8789
89	871	8811
90	880	8798
91	889	8779
92	900	8777
93	907	8745
94	918	8754
95	930	8764
96	939	8745
97	947	8720
98	955	8700
99	966	8696
100	978	8709
101	995	8767
102	1006	8768
103	1024	8823
104	1033	8812
105	1048	8841
106	1057	8822
107	1070	8840
108	1080	8831
109	1090	8824
110	1101	8818
111	1114	8839
112	1131	8882
113	1147	8921
114	1164	8961
115	1176	8962
116	1185	8949
117	1203	8992
118	1212	8978
119	1223	8969
120	1235	8975
121	1252	9014
122	1264	9017
123	1292	9130
124	1305	9138
125	1317	9140
126	1332	9156
127	1346	9174
128	1363	9205
129	1375	9203
130	1392	9238
131	1418	9329
132	1445	9424
133	1460	9435
134	1473	9441
135	1483	9425
136	1504	9479
137	1517	9480
138	1530	9480
139	1540	9462
140	1556	9480
141	1565	9460
142	1579	9468
143	1597	9494
144	1612	9506
145	1621	9486
146	1631	9466
147	1641	9451
148	1651	9431
149	1660	9409
150	1677	9429
151	1687	9414
152	1699	9406
153	1709	9390
154	1717	9363
155	1729	9357
156	1741	9350
157	1750	9328
158	1763	9327
159	1773	9309
160	1779	9274
161	1789	9254
162	1799	9239
163	1812	9238
164	1824	9231
165	1833	9212
166	1845	9204
167	1853	9178
168	1862	9157
169	1870	9132
170	1879	9112
171	1889	9096
172	1895	9063
173	1904	9041
174	1916	9035
175	1923	9007
176	1933	8989
177	1940	8959
178	1949	8941
179	1956	8914
180	1964	8890
181	1972	8865
182	1980	8841
183	1990	8827
184	2000	8815
185	2011	8803
186	2019	8780
187	2027	8757
188	2036	8736
189	2043	8710
190	2053	8698
191	2061	8676
192	2069	8652
193	2076	8625
194	2085	8609
195	2093	8586
196	2100	8563
197	2109	8544
198	2117	8522
199	2126	8505
200	2133	8481
201	2144	8470
202	2152	8451
203	2159	8426
204	2168	8410
205	2175	8386
206	2183	8365
207	2192	8348
208	2200	8329
209	2208	8308
210	2219	8300
211	2228	8283
212	2236	8265
213	2245	8247
214	2252	8224
215	2261	8208
216	2269	8187
217	2277	8168
218	2284	8145
219	2292	8126
220	2299	8104
221	2307	8087
222	2314	8064
223	2323	8049
224	2330	8026
225	2338	8007
226	2344	7984
227	2353	7969
228	2359	7944
229	2367	7926
230	2374	7904
231	2383	7890
232	2393	7878
233	2402	7863
234	2411	7849
235	2417	7826
236	2425	7807
237	2432	7789
238	2441	7774
239	2448	7754
240	2460	7747
241	2467	7729
242	2477	7717
243	2487	7708
244	2495	7691
245	2503	7673
246	2511	7655
247	2520	7641
248	2530	7633
249	2538	7615
250	2547	7602
251	2554	7582
252	2563	7568
253	2570	7548
254	2578	7531
255	2588	7521
256	2595	7504
257	2604	7489
258	2616	7484
259	2626	7476
260	2639	7474
261	2648	7460
262	2660	7454
263	2671	7448
264	2682	7440
265	2697	7443
266	2709	7439
267	2720	7431
268	2729	7416
269	2739	7408
270	2746	7387
271	2756	7378
272	2763	7358
273	2771	7342
274	2782	7335
275	2799	7343
276	2817	7354
277	2841	7379
278	2853	7373
279	2870	7380
280	2879	7368
281	2890	7359
282	2898	7342
283	2907	7331
284	2911	7304
285	2916	7281
286	2919	7252
287	2921	7221
288	2923	7191
289	2924	7160
290	2927	7131
291	2929	7102
292	2931	7074
293	2933	7045
294	2935	7015
295	2937	6985
296	2938	6955
297	2940	6926
298	2942	6897
299	2945	6873
300	2947	6845
301	2949	6816
302	2950	6787
303	2952	6758
304	2953	6730
305	2955	6702
306	2956	6674
307	2959	6649
308	2961	6621
309	2962	6594
310	2964	6566
311	2965	6539
312	2967	6512
313	2968	6485
314	2969	6458
315	2971	6431
316	2974	6408
317	2976	6383
318	2977	6357
319	2979	6330
320	2980	6304
321	2982	6278
322	2983	6252
323	2984	6227
324	2986	6202
325	2989	6181
326	2991	6157
327	2993	6132
328	2994	6107
329	2995	6082
330	2997	6058
331	2998	6033
332	3000	6009
333	3003	5988
334	3005	5965
335	3006	5941
336	3007	5917
337	3008	5893
338	3010	5870
339	3011	5846
340	3013	5823
341	3014	5800
342	3016	5777
343	3017	5754
344	3019	5731
345	3020	5709
346	3021	5686
347	3022	5663
348	3024	5641
349	3025	5618
350	3026	5596
351	3027	5574
352	3029	5552
353	3031	5532
354	3033	5512
355	3035	5491
356	3036	5469
357	3038	5448
358	3039	5427
359	3041	5406
360	3042	5385
361	3043	5364
362	3045	5344
363	3046	5323
364	3049	5304
365	3050	5284
366	3051	5263
367	3053	5243
368	3054	5223
369	3055	5202
370	3057	5183
371	3058	5163
372	3059	5143
373	3062	5126
374	3064	5107
375	3065	5087
376	3067	5068
377	3068	5049
378	3069	5030
379	3071	5010
380	3072	4991
381	3073	4972
382	3075	4954
383	3076	4935
384	3078	4917
385	3079	4898
386	3080	4879
387	3082	4861
388	3083	4842
389	3084	4824
390	3085	4806
391	3087	4788
392	3088	4770
393	3090	4753
394	3093	4737
395	3094	4720
396	3096	4702
397	3097	4685
398	3098	4667
399	3100	4650
400	3101	4633
401	3103	4615
402	3104	4599
403	3106	4582
404	3107	4565
405	3108	4548
406	3110	4531
407	3111	4514
408	3112	4498
409	3114	4481
410	3116	4465
411	3117	4449
412	3119	4434
413	3122	4420
414	3124	4404
415	3126	4388
416	3127	4372
417	3129	4356
418	3130	4341
419	3131	4324
420	3133	4309
421	3135	4295
422	3138	4281
423	3139	4265
424	3141	4249
425	3142	4234
426	3144	4219
427	3145	4203
428	3146	4188
429	3148	4173
430	3151	4159
431	3153	4145
432	3154	4130
433	3155	4115
434	3157	4100
435	3158	4085
436	3160	4071
437	3161	4056
438	3162	4041
439	3164	4027
440	3166	4013
441	3167	3998
442	3168	3984
443	3170	3969
444	3171	3955
445	3172	3940
446	3173	3926
447	3175	3912
448	3176	3898
449	3178	3885
450	3181	3873
451	3183	3859
452	3184	3845
453	3186	3831
454	3187	3818
455	3189	3804
456	3190	3790
457	3191	3777
458	3193	3764
459	3195	3750
460	3196	3737
461	3197	3723
462	3198	3710
463	3200	3696
464	3201	3683
465	3202	3670
466	3203	3656
467	3205	3643
468	3206	3630
469	3207	3617
470	3210	3606
471	3212	3593
472	3213	3580
473	3215	3567
474	3216	3555
475	3217	3542
476	3219	3529
477	3220	3516
478	3221	3504
479	3223	3492
480	3224	3479
481	3226	3467
482	3227	3454
483	3228	3442
484	3230	3429
485	3231	3417
486	3232	3405
487	3233	3392
488	3235	3380
489	3236	3368
490	3238	3356
491	3240	3346
492	3242	3334
493	3243	3322
494	3245	3310
495	3246	3299
496	3248	3287
497	3249	3275
498	3250	3263
499	3251	3251
500	3253	3240
501	3254	3229
502	3256	3217
503	3257	3205
504	3258	3194
505	3260	3182
506	3261	3171
507	3262	3159
508	3263	3148
509	3265	3137
510	3266	3125
511	3268	3115
512	3271	3105
513	3272	3094
514	3273	3083
515	3275	3072
516	3276	3061
517	3278	3050
518	3279	3039
519	3280	3028
520	3282	3017
521	3283	3007
522	3285	2996
523	3286	2985
524	3287	2974
525	3288	2963
526	3290	2953
527	3291	2942
528	3292	2931
529	3294	2921
530	3295	2910
531	3296	2900
532	3299	2891
533	3301	2881
534	3303	2871
535	3304	2861
536	3306	2850
537	3307	2840
538	3309	2830
539	3310	2819
540	3312	2810
541	3313	2800
542	3315	2790
543	3316	2780
544	3317	2769
545	3319	2760
546	3320	2750
547	3322	2740
548	3323	2730
549	3324	2720
550	3326	2710
551	3328	2701
552	3330	2692
553	3332	2682
554	3333	2672
555	3335	2663
556	3336	2653
557	3337	2643
558	3339	2634
559	3340	2624
560	3342	2615
561	3343	2605
562	3344	2596
563	3346	2586
564	3347	2577
565	3349	2567
566	3350	2558
567	3351	2549
568	3353	2539
569	3354	2530
570	3356	2521
571	3359	2514
572	3361	2505
573	3363	2495
574	3364	2486
575	3365	2477
576	3367	2468
577	3368	2459
578	3370	2450
579	3372	2441
580	3374	2433
581	3376	2425
582	3378	2416
583	3379	2407
584	3380	2398
585	3382	2389
586	3383	2380
587	3385	2371
588	3387	2364
589	3389	2355
590	3391	2346
591	3392	2338
592	3393	2329
593	3395	2320
594	3397	2312
595	3398	2303
596	3399	2295
597	3401	2286
598	3402	2277
599	3404	2269
600	3405	2260
601	3406	2252
602	3407	2243
603	3408	2234
604	3410	2226
605	3411	2217
606	3412	2209
607	3413	2201
608	3416	2193
609	3418	2185
610	3419	2177
611	3421	2169
612	3422	2160
613	3424	2152
614	3425	2144
615	3426	2136
616	3428	2128
617	3429	2119
618	3431	2111
619	3432	2103
620	3433	2095
621	3435	2087
622	3436	2079
623	3437	2071
624	3438	2063
625	3440	2055
626	3441	2047
627	3442	2039
628	3444	2031
629	3446	2024
630	3448	2016
631	3449	2008
632	3451	2000
633	3452	1993
634	3453	1985
635	3455	1977
636	3456	1969
637	3458	1962
638	3459	1954
639	3460	1946
640	3462	1938
641	3463	1931
642	3465	1923
643	3466	1916
644	3467	1908
645	3469	1901
646	3470	1893
647	3471	1885
648	3472	1878
649	3475	1871
650	3477	1864
651	3479	1857
652	3480	1849
653	3482	1842
654	3483	1834
655	3485	1827
656	3486	1820
657	3487	1812
658	3489	1805
659	3490	1798
660	3491	1790
661	3493	1783
662	3494	1776
663	3496	1769
664	3497	1761
665	3498	1754
666	3500	1747
667	3501	1740
668	3502	1733
669	3504	1726
670	3507	1719
671	3508	1712
672	3510	1705
673	3511	1698
674	3513	1691
675	3514	1684
676	3515	1677
677	3516	1670
678	3518	1663
679	3519	1656
